date,prcp_era,prcp_mswep,prcp_gsmap,prcp_chirps,t_mean,t_min,t_max,dew_mean,wind_speed,vp1,vp2,srad
2000-01-01,2.4746546231513,3.61566500711238,,4.199566005551733,-19.14268006946159,-27.859098552876134,-15.783554310021714,-23.93045710059013,2.1462152527825213,90.0179995676772,88.04544007968481,40.76051485506232
2000-01-02,4.7409298943848,4.37944523470839,,0.7154961277353563,-15.311616278098882,-18.856169384595688,-12.935969946154898,-17.561181624820335,0.6607136007909677,156.326808139263,153.63478617696012,32.8890024716376
2000-01-03,0.4358874298901022,0.388335704125178,,0.0,-25.296625443038693,-30.33972688950533,-19.24785290067362,-28.31513783184647,1.506855151351867,60.428454867315,58.8431569893342,49.042491633354416
2000-01-04,0.03032683320886,0.0192923186344239,,0.0,-32.05109632844349,-36.60580436997196,-27.880391105593333,-36.26817793431758,0.9252587757412692,28.1267230379144,27.0878844898028,55.88816166233413
2000-01-05,0.0081010457348272,0.0020448079658606,,0.0,-30.493076926941484,-36.63027078971095,-24.746864219274784,-37.45889403994877,2.3671535280685485,24.9607989720266,23.9896444484622,60.56297796462516
2000-01-06,2.9044516783292,2.21621621621622,,0.2252846916171192,-18.236030195194672,-25.52696982170511,-15.437093952233454,-24.11606063930347,2.6437292688010814,88.54001885209419,86.5853817698853,44.75124407699271
2000-01-07,3.9335354875373,3.68830014224751,,0.0,-14.693380107891585,-21.593608066313465,-11.82227408063676,-17.015900009278198,1.0140174570601477,163.65856051271462,160.8937379748306,26.429861110406137
2000-01-08,2.7051468408253,3.07805832147937,,2.200670304969237,-14.720148962830764,-22.751611225755568,-10.383335594356026,-19.842376307119707,2.265887035218645,128.7429432656862,126.3343866336899,45.08293007234091
2000-01-09,1.3339110813475,1.3597972972973,,0.4809843548075622,-15.166509802216297,-21.37549313218213,-10.533726464093093,-17.338938048556145,0.9232885344933492,159.27872985816148,156.5572863687539,35.310884224046696
2000-01-10,0.0181411335988136,8.89046941678521e-05,,0.0,-22.67611038216188,-26.96842984126729,-17.70879851666129,-27.085856375149604,1.3492459328554869,67.6797528439225,65.9930520360299,50.26972742228315
2000-01-11,0.0308022276270486,0.0028449502133712,,0.0,-21.386308948085173,-26.402009657093146,-17.98834862612111,-29.75737339837389,1.760256286333668,52.8195946909827,51.346887935559,52.20989302490573
2000-01-12,0.0759084630277687,0.0215149359886202,,0.0,-22.18141765928493,-25.668865840953885,-18.06673316485237,-27.838200784943325,2.075447788986782,63.1541314688958,61.5301056284479,56.8549586722255
